# Omarchy webapps (Name|URL) — recreated with `omarchy-webapp-install`
# Handler-based ones (HEY, Zoom) are skipped: they use custom protocol handlers
# and should be re-added manually via Omarchy's app installer if still needed.
Discord|https://discord.com/channels/@me
Figma|https://figma.com/
Basecamp|https://launchpad.37signals.com
YouTube|https://youtube.com/
X|https://x.com/
ChatGPT|https://chatgpt.com/
GitHub|https://github.com/
Google Contacts|https://contacts.google.com/
Fizzy|https://app.fizzy.do/
Google Messages|https://messages.google.com/web/conversations
Google Photos|https://photos.google.com/
WhatsApp|https://web.whatsapp.com/
